iter	R2	RMSE
0	-2.263929017	290.2817722
1	-0.433140432	192.3507072
2	0.1451574763	148.5567781
3	0.393530832	125.1277907
4	0.5279425284	110.3943511
5	0.6014133472	101.4403617
6	0.6251313945	98.37595207
7	0.6654963695	92.92869341
8	0.6854033589	90.12109374
9	0.7142974612	85.88285295
10	0.7358828065	82.57484174
11	0.7488759894	80.51810264
12	0.7638761061	78.07632826
13	0.7781044736	75.68741738
14	0.7979393474	72.22545537
15	0.803979461	71.13776274
16	0.8194811036	68.26698897
17	0.823831717	67.43933418
18	0.8341893256	65.42679643
19	0.8375886997	64.75264824
20	0.8402453351	64.22087041
21	0.84993804	62.24216928
22	0.8545615328	61.27580952
23	0.8566487928	60.83452067
24	0.8683806882	58.29203552
25	0.8781156696	56.09489649
26	0.8850227798	54.48228521
27	0.89059778	53.14500845
28	0.8995061447	50.93533502
29	0.9008807699	50.58577095
30	0.9021038081	50.27271178
31	0.9109197639	47.95568433
32	0.9117533636	47.73077582
33	0.9186792085	45.81948585
34	0.9236656139	44.39249165
35	0.9277596077	43.18565004
36	0.9285292166	42.95499614
37	0.9344201981	41.14664818
38	0.9350030746	40.96338335
39	0.9363442309	40.53855816
40	0.9383597835	39.89160322
41	0.9425115781	38.52473027
42	0.9451406587	37.63350838
43	0.9471096923	36.95195835
44	0.9477131518	36.74054931
45	0.9509888679	35.57105781
46	0.9516180304	35.34200511
47	0.952096145	35.16694524
48	0.954954795	34.10151686
49	0.9583746684	32.78145806
50	0.9586434319	32.67545615
51	0.9617809822	31.41153602
52	0.9635168947	30.68988855
53	0.966059891	29.60097591
54	0.966367776	29.4664086
55	0.9674891091	28.97102418
56	0.9705125554	27.59103436
57	0.9707717918	27.46948449
58	0.9710918704	27.31866102
59	0.9723947314	26.69595134
60	0.9733641146	26.22303666
61	0.9742645348	25.77599416
62	0.9744419203	25.68700812
63	0.9755364107	25.13098444
64	0.9769017604	24.41961734
65	0.978537166	23.53926761
66	0.978727497	23.43466284
67	0.9801346278	22.64632661
68	0.9809485758	22.17752802
69	0.9810533685	22.11645
70	0.9823064045	21.37260505
71	0.9823849328	21.325124
72	0.9824743668	21.27091992
73	0.9832629935	20.786832
74	0.983576439	20.59126732
75	0.9842933398	20.13684083
76	0.9850435973	19.65001958
77	0.9862988398	18.80737072
78	0.986384963	18.74816753
79	0.9871734649	18.19717997
80	0.9880487259	17.56533825
81	0.9884600843	17.26039502
82	0.9890351212	16.824855
83	0.9899478738	16.10936346
84	0.9902684401	15.8504152
85	0.9906434653	15.54200085
86	0.9906833995	15.50879834
87	0.9911001273	15.1579793
88	0.9916920603	14.64522606
89	0.9919186529	14.44412685
90	0.9923080649	14.0918243
91	0.9925449147	13.8731704
92	0.9930581066	13.38715783
93	0.9932413689	13.209269
94	0.9935426022	12.91154416
95	0.9939182674	12.5303463
96	0.9941605143	12.27825676
97	0.9943753069	12.05032686
98	0.9948950044	11.4801378
99	0.9952749174	11.04470485
