iter	Passed	Remaining
0	93	9249
1	94	4641
2	95	3100
3	100	2417
4	102	1938
5	103	1615
6	104	1384
7	105	1209
8	106	1074
9	107	965
10	108	879
11	111	816
12	114	764
13	115	712
14	116	662
15	118	620
16	120	588
17	123	560
18	124	531
19	125	503
20	126	477
21	129	459
22	132	443
23	134	425
24	135	406
25	136	388
26	137	372
27	140	361
28	142	349
29	143	335
30	145	322
31	146	310
32	147	299
33	150	292
34	152	283
35	153	273
36	154	263
37	155	254
38	157	246
39	159	239
40	162	233
41	163	225
42	164	217
43	165	210
44	166	203
45	170	199
46	172	194
47	173	187
48	174	181
49	175	175
50	177	170
51	180	166
52	181	161
53	182	155
54	185	151
55	188	147
56	189	143
57	190	138
58	191	133
59	192	128
60	196	125
61	198	121
62	200	117
63	201	113
64	202	108
65	205	105
66	208	102
67	210	99
68	211	95
69	212	91
70	216	88
71	218	85
72	220	81
73	221	77
74	222	74
75	224	70
76	226	67
77	228	64
78	229	61
79	230	57
80	232	54
81	235	51
82	237	48
83	239	45
84	240	42
85	241	39
86	243	36
87	245	33
88	247	30
89	248	27
90	249	24
91	250	21
92	252	19
93	256	16
94	258	13
95	259	10
96	262	8
97	264	5
98	267	2
99	269	0
