iter	RMSE	MAE
0	90.61100817	67.94619072
1	72.614353	54.41973434
2	65.91677831	50.01858442
3	47.13937119	36.66452219
4	42.07158016	32.79785156
5	34.7633708	26.82257209
6	34.44011769	25.48298906
7	95.23277903	70.81131074
8	75.7689156	57.05831016
9	70.05215939	53.13774334
10	50.98301538	39.74403542
11	39.1740808	30.50062665
12	23.85868911	16.42228095
13	32.47188367	24.37345397
14	98.21461827	72.60177291
15	77.99692242	58.826643
16	71.84974075	54.4553114
17	54.20845143	42.00883709
18	37.56431253	29.63899206
19	34.26743603	25.86810917
20	21.19120448	15.62453002
21	100.5778038	74.18715237
22	79.84833399	60.16236095
23	73.28429451	55.61702283
24	56.61265995	43.89892235
25	46.49847489	35.9385223
26	33.62948929	25.7230176
27	17.18421807	12.47791071
28	102.3931327	75.37612522
29	82.47854735	61.76284397
30	74.61685898	56.80927529
31	58.29463392	45.02915508
32	39.55834188	30.66997219
33	31.72133311	24.36717378
34	29.34342254	22.66418143
35	105.3919916	77.64666276
36	85.71663736	63.66107106
37	77.69851059	58.88119786
38	61.38524594	47.05017747
39	39.08982779	29.90973772
40	32.9961997	24.83340347
41	27.86120039	19.9386984
42	85.66661047	64.63407037
43	67.47589777	50.86513832
44	61.93980798	46.77892638
45	49.589409	38.28498244
46	40.43327982	30.93522212
47	29.40694673	21.20109869
48	20.19455648	13.47191983
49	91.89868161	68.55731301
50	71.76616008	54.48081638
51	66.20814484	50.19875677
52	48.54378863	37.03625403
53	34.86158227	26.75474102
54	23.20410784	15.94201689
55	22.22356039	15.03021626
56	95.49733618	70.85076661
57	74.4656924	56.66815171
58	68.34433757	52.0805767
59	51.76495304	39.31356118
60	30.59612521	23.18465951
61	30.92101064	22.72281177
62	22.85329094	16.20001921
63	98.37219029	72.70341774
64	77.13405709	58.38882282
65	70.58099472	54.00241511
66	65.18871901	49.77788349
67	35.64364677	27.24707489
68	29.69401552	21.72356191
69	15.65633801	10.91650619
70	100.6558295	74.21371853
71	79.46075947	59.68936164
72	71.50185468	54.49647797
73	53.21083677	40.57152005
74	44.99676023	34.27954387
75	29.85882571	21.68009002
76	18.32028468	13.31427245
77	103.3141964	76.19362924
78	82.86752287	61.63482966
79	74.59205212	56.5807002
80	63.39676094	48.38901036
81	37.41113593	28.18061146
82	29.03412578	20.78148785
83	9.787284966	6.160080206
84	82.89579319	62.81592597
85	64.29297968	48.16394357
86	58.58225967	43.94331821
87	41.94870432	31.05063031
88	30.16133676	20.35871633
89	20.16708057	12.11590219
90	20.047188	12.8283011
91	89.54660059	66.99776786
92	68.73179342	52.19392198
93	65.37703208	49.517107
94	44.49274669	33.59052529
95	37.37281124	27.60896333
96	17.35279865	10.89001436
97	14.22427086	8.850702004
98	93.90768862	69.67856228
99	71.77483984	54.51847922
100	64.57511557	48.99803315
101	45.94085076	34.77309216
102	35.30035062	26.19811183
103	22.92445879	15.72768086
104	10.50950365	6.117521407
105	96.79345571	71.5764143
106	74.73278706	56.50011893
107	66.37672582	50.65829003
108	44.03329989	32.88527335
109	28.04831662	20.20708156
110	23.75348489	16.54432725
111	15.99148311	10.42094303
112	99.20045705	73.21147724
113	76.94660395	57.89003037
114	68.44493205	52.00773931
115	59.49770232	45.2279027
116	36.41894532	27.00245856
117	24.19915857	17.11733501
118	13.33936272	9.079516659
119	102.4107997	75.41143699
120	81.08101234	60.28498244
121	72.27457079	54.69479106
122	59.51196916	44.82819361
123	43.39350912	32.46842524
124	25.3028061	17.13075188
125	15.85942527	10.25280962
