iter	Passed	Remaining
0	42	42147
1	43	21713
2	45	15123
3	47	11945
4	49	9886
5	51	8569
6	53	7564
7	54	6752
8	55	6085
9	56	5551
10	56	5111
11	57	4749
12	60	4602
13	61	4349
14	62	4126
15	64	3940
16	64	3755
17	65	3599
18	67	3460
19	67	3331
20	68	3209
21	69	3097
22	70	3010
23	72	2934
24	73	2851
25	74	2774
26	74	2699
27	75	2636
28	76	2577
29	77	2521
30	78	2464
31	80	2420
32	80	2371
33	81	2326
34	82	2282
35	84	2259
36	85	2233
37	87	2221
38	89	2212
39	90	2180
40	92	2158
41	93	2136
42	94	2103
43	95	2075
44	96	2044
45	97	2014
46	98	1987
47	100	1985
48	101	1963
49	104	1983
50	105	1960
51	106	1936
52	107	1913
53	107	1891
54	108	1869
55	109	1848
56	110	1828
57	112	1824
58	113	1814
59	114	1795
60	115	1776
61	116	1760
62	117	1743
63	118	1725
64	118	1709
65	119	1693
66	120	1679
67	121	1666
68	122	1651
69	123	1635
70	123	1621
71	124	1607
72	125	1593
73	126	1580
74	127	1566
75	127	1554
76	128	1544
77	130	1546
78	133	1553
79	134	1548
80	135	1537
81	136	1531
82	138	1527
83	139	1516
84	139	1506
85	140	1495
86	141	1485
87	142	1474
88	143	1464
89	143	1455
90	144	1447
91	146	1443
92	148	1448
93	149	1439
94	150	1430
95	150	1421
96	152	1415
97	153	1409
98	153	1400
99	155	1398
100	156	1391
101	157	1382
102	158	1376
103	158	1368
104	159	1360
105	160	1353
106	161	1346
107	162	1340
108	163	1333
109	164	1329
110	165	1325
111	166	1318
112	167	1311
113	167	1305
114	168	1298
115	169	1293
116	170	1287
117	171	1281
118	172	1275
119	173	1275
120	174	1270
121	175	1264
122	176	1258
123	177	1252
124	178	1249
125	179	1245
126	180	1239
127	181	1234
128	183	1241
129	185	1241
130	187	1242
131	188	1242
132	190	1242
133	191	1240
134	192	1236
135	194	1235
136	195	1231
137	196	1226
138	197	1223
139	198	1221
140	199	1216
141	200	1212
142	201	1208
143	203	1207
144	203	1202
145	204	1197
146	205	1193
147	206	1188
148	208	1191
149	209	1186
150	210	1183
151	211	1178
152	212	1174
153	212	1170
154	213	1165
155	215	1163
156	217	1169
157	218	1166
158	219	1162
159	220	1158
160	221	1154
161	222	1150
162	223	1146
163	224	1142
164	225	1139
165	226	1136
166	227	1133
167	227	1128
168	228	1125
169	229	1121
170	230	1117
171	231	1113
172	232	1109
173	232	1105
174	234	1106
175	235	1104
176	236	1101
177	238	1099
178	239	1096
179	239	1093
180	240	1089
181	242	1089
182	244	1092
183	246	1090
184	246	1087
185	247	1084
186	248	1081
187	249	1079
188	251	1077
189	252	1076
190	253	1073
191	254	1070
192	255	1067
193	256	1064
194	257	1061
195	257	1058
196	260	1062
197	263	1067
198	264	1064
199	265	1063
200	267	1064
201	268	1061
202	271	1064
203	272	1062
204	273	1058
205	273	1055
206	275	1055
207	276	1053
208	277	1050
209	278	1047
210	279	1044
211	280	1040
212	280	1037
213	281	1034
214	282	1031
215	283	1029
216	284	1027
217	285	1025
218	286	1022
219	287	1019
220	288	1016
221	289	1014
222	290	1011
223	291	1008
224	291	1005
225	292	1003
226	293	1000
227	294	997
228	295	994
229	296	992
230	297	989
231	298	986
232	298	984
233	299	981
234	300	978
235	301	975
236	302	973
237	303	972
238	304	970
239	305	967
240	306	965
241	307	962
242	308	960
243	308	957
244	309	955
245	310	952
246	313	954
247	314	952
248	315	951
249	317	951
250	318	949
251	319	948
252	321	948
253	322	946
254	323	944
255	324	942
256	325	939
257	325	937
258	326	935
259	327	932
260	328	930
261	329	927
262	331	927
263	333	929
264	334	928
265	335	926
266	336	923
267	337	921
268	338	918
269	339	918
270	341	918
271	342	916
272	343	914
273	344	913
274	345	911
275	347	912
276	348	909
277	349	907
278	350	905
279	351	903
280	352	900
281	353	898
282	353	896
283	354	894
284	356	894
285	357	893
286	359	892
287	360	891
288	361	889
289	362	887
290	363	885
291	364	884
292	366	883
293	367	883
294	368	881
295	369	879
296	370	876
297	371	874
298	372	872
299	373	870
300	373	868
301	375	866
302	375	864
303	376	862
304	377	860
305	378	858
306	379	856
307	380	854
308	381	854
309	384	855
310	386	855
311	387	853
312	388	851
313	390	852
314	391	851
315	392	850
316	393	848
317	394	846
318	396	846
319	398	846
320	399	844
321	399	842
322	400	840
323	401	837
324	402	835
325	403	834
326	404	832
327	405	831
328	406	829
329	407	826
330	408	825
331	408	822
332	409	820
333	410	818
334	411	817
335	413	816
336	414	815
337	415	813
338	416	811
339	416	809
340	417	807
341	418	805
342	419	803
343	420	801
344	421	799
345	422	798
346	423	797
347	425	796
348	426	796
349	428	795
350	429	793
351	430	792
352	431	790
353	432	788
354	433	787
355	434	785
356	435	783
357	436	781
358	436	779
359	437	778
360	439	777
361	440	776
362	442	776
363	454	793
